"year","state","ecvotes","dem","rep","other","total"
1852,"Mississippi",7,26896,NA,17558,44454
1852,"Missouri",9,38817,NA,29984,68801
1852,"New Hampshire",5,28503,NA,22032,50535
1852,"New Jersey",7,44305,NA,38915,83220
1852,"New York",35,262083,NA,260211,522294
1852,"North Carolina",10,39788,NA,39103,78891
1852,"Ohio",23,168933,NA,184255,353188
1852,"Pennsylvania",27,198562,NA,189277,387839
1852,"Rhode Island",4,8735,NA,8270,17005
1852,"Tennessee",12,56900,NA,58586,115486
1852,"Texas",4,13552,NA,4995,18547
1852,"Vermont",5,13044,NA,30846,43890
1852,"Virginia",15,73872,NA,58732,132604
1852,"Wisconsin",5,33658,NA,31024,64682
1856,"Alabama",9,46739,0,28552,75291
1856,"Arkansas",4,21910,0,10732,32642
1856,"California",4,53342,20704,36209,110255
1856,"Connecticut",6,34997,42717,2615,80329
1856,"Delaware",3,8004,310,6284,14598
1856,"Florida",3,6358,0,4833,11191
1856,"Georgia",10,56581,0,42439,99020
1856,"Illinois",11,105528,96275,37531,239334
1856,"Indiana",13,118670,94375,22386,235431
1856,"Iowa",4,37568,45073,9669,92310
1856,"Kentucky",12,74642,0,67416,142058
1856,"Louisiana",6,22164,0,20709,42873
1856,"Maine",8,39140,67279,3270,109689
1856,"Maryland",8,39123,285,47452,86860
1856,"Massachusetts",13,39244,108172,22632,170048
1856,"Michigan",6,52139,71762,1660,125561
1856,"Mississippi",7,35456,0,24191,59647
1856,"Missouri",9,57964,0,48522,106486
1856,"New Hampshire",5,31891,37473,410,69774
1856,"New Jersey",7,46943,28338,24115,99396
1856,"New York",35,195878,276004,124604,596486
1856,"North Carolina",10,48243,0,36720,84963
1856,"Ohio",23,170874,187497,28126,386497
1856,"Pennsylvania",27,230686,147286,82189,460161
1856,"Rhode Island",4,6680,11467,1675,19822
1856,"Tennessee",12,69704,0,63878,133582
1856,"Texas",4,31169,0,15639,46808
1856,"Vermont",5,10577,39561,610,50748
1856,"Virginia",15,90083,0,60150,150233
1856,"Wisconsin",5,52843,66090,579,119512
1860,"Alabama",9,13618,0,76504,90122
1860,"Arkansas",4,5357,0,48795,54152
1860,"California",4,37999,38733,43095,119827
1860,"Connecticut",6,17364,43486,19895,80745
1860,"Delaware",3,1066,3822,11227,16115
1860,"Florida",3,223,0,13078,13301
1860,"Georgia",10,11581,0,95136,106717
1860,"Illinois",11,160215,172171,7280,339666
1860,"Indiana",13,115509,139033,17601,272143
1860,"Iowa",4,55639,70302,2798,128739
1860,"Kentucky",12,25651,1364,119201,146216
1860,"Louisiana",6,7625,0,42885,50510
1860,"Maine",8,29693,62811,8414,100918
1860,"Maryland",8,5966,2294,84242,92502
1860,"Massachusetts",13,34370,106684,28822,169876
1860,"Michigan",6,64889,88450,1210,154549
1860,"Minnesota",4,11920,22069,748,34737
1860,"Mississippi",7,3282,0,65813,69095
1860,"Missouri",9,58801,17028,89734,165563
1860,"New Hampshire",5,25887,37519,2537,65943
1860,"New Jersey",7,62869,58346,0,121215
1860,"New York",35,312510,362646,0,675156
1860,"North Carolina",10,2737,0,93975,96712
1860,"Ohio",23,187421,221809,23632,432862
1860,"Oregon",3,4131,5344,5286,14761
1860,"Pennsylvania",27,16765,268030,191647,476442
1860,"Rhode Island",4,7707,12244,0,19951
1860,"Tennessee",12,11281,0,134825,146106
1860,"Texas",4,0,0,62986,62986
1860,"Vermont",5,8649,33808,2109,44566
1860,"Virginia",15,16198,1887,148806,166891
1860,"Wisconsin",5,65021,86113,1049,152183
1864,"California",5,NA,NA,0,0
1864,"Connecticut",6,NA,NA,0,0
1864,"Delaware",3,NA,NA,0,0
1864,"Illinois",16,NA,NA,0,0
1864,"Indiana",13,NA,NA,0,0
1864,"Iowa",8,NA,NA,0,0
1864,"Kansas",3,NA,NA,655,655
1864,"Kentucky",11,NA,NA,0,0
1864,"Maine",7,NA,NA,0,0
1864,"Maryland",7,NA,NA,0,0
1864,"Massachusetts",12,NA,NA,3,3
1864,"Michigan",8,NA,NA,0,0
1864,"Minnesota",4,NA,NA,0,0
1864,"Missouri",11,NA,NA,0,0
1864,"Nevada",2,NA,NA,0,0
1864,"New Hampshire",5,NA,NA,0,0
1864,"New Jersey",7,NA,NA,0,0
1864,"New York",33,NA,NA,0,0
1864,"Ohio",21,NA,NA,0,0
1864,"Oregon",3,NA,NA,0,0
1864,"Pennsylvania",26,NA,NA,0,0
1864,"Rhode Island",4,NA,NA,0,0
1864,"Vermont",5,NA,NA,0,0
1864,"West Virginia",5,NA,NA,0,0
1864,"Wisconsin",8,NA,NA,0,0
1868,"Alabama",8,72921,76667,6,149594
1868,"Arkansas",5,19078,22112,0,41190
1868,"California",5,54068,54588,0,108656
1868,"Connecticut",6,47844,50788,0,98632
1868,"Delaware",3,10957,7614,0,18571
1868,"Georgia",9,102707,57109,0,159816
1868,"Illinois",16,199116,250304,0,449420
1868,"Indiana",13,166980,176552,0,343532
1868,"Iowa",8,74040,120399,0,194439
1868,"Kansas",3,13600,30027,3,43630
1868,"Kentucky",11,115889,39566,0,155455
1868,"Louisiana",7,80225,33263,0,113488
1868,"Maine",7,42460,70502,0,112962
1868,"Maryland",7,62357,30438,0,92795
1868,"Massachusetts",12,59103,136379,26,195508
1868,"Michigan",8,97060,128560,0,225620
1868,"Minnesota",4,28096,43722,0,71818
1868,"Missouri",11,65628,86860,0,152488
1868,"Nebraska",3,5519,9772,0,15291
1868,"Nevada",3,5218,6480,0,11698
1868,"New Hampshire",5,30575,37718,11,68304
1868,"New Jersey",7,83001,80131,0,163132
1868,"New York",33,429883,419888,0,849771
1868,"North Carolina",9,84559,96939,0,181498
1868,"Ohio",21,238621,280167,0,518788
1868,"Oregon",3,11125,10961,0,22086
1868,"Pennsylvania",26,313382,342280,0,655662
1868,"Rhode Island",4,6548,12993,0,19541
1868,"South Carolina",6,45237,62301,0,107538
1868,"Tennessee",10,26129,56628,0,82757
1868,"Vermont",5,12045,44167,0,56212
1868,"West Virginia",5,20306,29015,0,49321
1868,"Wisconsin",8,84703,108900,0,193603
1872,"Alabama",10,79444,90272,0,169716
1872,"Arkansas",6,37927,41373,0,79300
1872,"California",6,40717,54007,1061,95785
1872,"Connecticut",6,45695,50314,0,96009
1872,"Delaware",3,10205,11129,488,21822
1872,"Florida",4,15427,17763,0,33190
1872,"Georgia",11,76356,62550,0,138906
1872,"Illinois",21,184884,241936,3151,429971
1872,"Indiana",15,163632,186147,1417,351196
1872,"Iowa",11,71189,131566,13610,216365
1872,"Kansas",5,32970,66805,737,100512
1872,"Kentucky",12,99995,88766,2374,191135
1872,"Louisiana",8,57029,71663,0,128692
1872,"Maine",7,29097,61426,0,90523
1872,"Maryland",8,67687,66760,0,134447
1872,"Massachusetts",13,59195,133455,214,192864
1872,"Michigan",11,78551,138758,4146,221455
1872,"Minnesota",5,35211,55708,0,90919
1872,"Mississippi",8,47282,82175,0,129457
1872,"Missouri",15,151434,119196,2429,273059
1872,"Nebraska",3,7603,18329,0,25932
1872,"Nevada",3,6236,8413,0,14649
1872,"New Hampshire",5,31425,37168,313,68906
1872,"New Jersey",9,76456,91656,0,168112
1872,"New York",35,387282,440738,0,828020
1872,"North Carolina",10,70130,94772,261,165163
1872,"Ohio",22,244321,281852,3263,529436
1872,"Oregon",3,7742,11818,587,20147
1872,"Pennsylvania",29,212041,349589,1632,563262
1872,"Rhode Island",4,5329,13665,0,18994
1872,"South Carolina",7,22699,72290,463,95452
1872,"Tennessee",12,93391,85655,0,179046
1872,"Texas",8,66546,47468,2580,116594
1872,"Vermont",5,10926,41480,574,52980
1872,"Virginia",11,91647,93463,85,185195
1872,"West Virginia",5,29532,32320,615,62467
1872,"Wisconsin",10,86477,104994,834,192305
1876,"Alabama",10,102989,68708,2,171699
1876,"Arkansas",6,58086,38649,211,96946
1876,"California",6,76460,79258,66,155784
1876,"Connecticut",6,61927,59033,1174,122134
1876,"Delaware",3,13381,10752,0,24133
1876,"Florida",4,22927,23849,0,46776
1876,"Georgia",11,130157,50533,0,180690
1876,"Illinois",21,258611,278232,17384,554227
1876,"Indiana",15,213526,208011,17374,438911
1876,"Iowa",11,112121,171326,9431,292878
1876,"Kansas",5,37902,78324,7908,124134
1876,"Kentucky",12,160060,97568,2998,260626
1876,"Louisiana",8,70508,75315,0,145823
1876,"Maine",7,49917,66300,828,117045
1876,"Maryland",8,91779,71980,0,163759
1876,"Massachusetts",13,108777,150064,779,259620
1876,"Michigan",11,141685,166901,9864,318450
1876,"Minnesota",5,48587,72955,2533,124075
1876,"Mississippi",8,112173,52603,0,164776
1876,"Missouri",15,202086,145027,3497,350610
1876,"Nebraska",3,17413,31915,0,49328
1876,"Nevada",3,9308,10383,0,19691
1876,"New Hampshire",5,38510,41540,91,80141
1876,"New Jersey",9,115962,103517,714,220193
1876,"New York",35,521949,489207,4347,1015503
1876,"North Carolina",10,125427,108484,0,233911
1876,"Ohio",22,323182,330698,4769,658649
1876,"Oregon",3,14157,15214,510,29881
1876,"Pennsylvania",29,366204,384184,8605,758993
1876,"Rhode Island",4,10712,15787,128,26627
1876,"South Carolina",7,90897,91786,0,182683
1876,"Tennessee",12,133177,89566,0,222743
1876,"Texas",8,104755,44800,0,149555
1876,"Vermont",5,20254,44091,208,64553
1876,"Virginia",11,140770,95518,0,236288
1876,"West Virginia",5,56546,41997,1104,99647
1876,"Wisconsin",10,123926,130067,3184,257177
1880,"Alabama",10,91130,56350,4422,151902
1880,"Arkansas",6,60489,41661,5622,107772
1880,"California",6,80426,80282,3510,164218
1880,"Colorado",3,24647,27450,1449,53546
1880,"Connecticut",6,64411,67071,1316,132798
1880,"Delaware",3,15181,14148,129,29458
1880,"Florida",4,27964,23654,0,51618
1880,"Georgia",11,102981,54470,0,157451
1880,"Illinois",21,277321,318036,26948,622305
1880,"Indiana",15,225522,232164,12986,470672
1880,"Iowa",11,105845,183904,32919,322668
1880,"Kansas",5,59801,121549,19886,201236
1880,"Kentucky",12,148875,106490,11739,267104
1880,"Louisiana",8,65047,38978,437,104462
1880,"Maine",7,65211,74052,4640,143903
1880,"Maryland",8,93706,78515,0,172221
1880,"Massachusetts",13,111720,165198,5347,282265
1880,"Michigan",11,131597,185335,36147,353079
1880,"Minnesota",5,53315,93902,3553,150770
1880,"Mississippi",8,75750,34844,6474,117068
1880,"Missouri",15,208600,153647,35042,397289
1880,"Nebraska",3,28523,54979,3950,87452
1880,"Nevada",3,9613,8732,0,18345
1880,"New Hampshire",5,40797,44856,708,86361
1880,"New Jersey",9,122565,120555,2808,245928
1880,"New York",35,534511,555544,13890,1103945
1880,"North Carolina",10,124204,115616,1126,240946
1880,"Ohio",22,340821,375048,9098,724967
1880,"Oregon",3,19955,20619,249,40823
1880,"Pennsylvania",29,407428,444704,22651,874783
1880,"Rhode Island",4,10779,18195,261,29235
1880,"South Carolina",7,111236,57954,603,169793
1880,"Tennessee",12,129569,107677,6017,243263
1880,"Texas",8,156428,57893,27405,241726
1880,"Vermont",5,18182,45091,1321,64594
1880,"Virginia",11,128083,83533,0,211616
1880,"West Virginia",5,57390,46243,9008,112641
1880,"Wisconsin",10,114644,144398,8145,267187
1884,"Alabama",10,92736,59444,1444,153624
1884,"Arkansas",7,72734,51198,1847,125779
1884,"California",8,89288,102369,5331,196988
1884,"Colorado",3,27723,36084,2712,66519
1884,"Connecticut",6,67182,65898,4177,137257
1884,"Delaware",3,16957,12953,74,29984
1884,"Florida",4,31769,28031,190,59990
1884,"Georgia",12,94667,48603,340,143610
1884,"Illinois",22,312351,337469,22850,672670
1884,"Indiana",15,245005,238489,11838,495332
1884,"Iowa",13,177316,197089,2796,377201
1884,"Kansas",9,90132,154406,21310,265848
1884,"Kentucky",13,152961,118690,4830,276481
1884,"Louisiana",8,62594,46347,458,109399
1884,"Maine",6,52153,72217,6121,130491
1884,"Maryland",8,96866,85748,3405,186019
1884,"Massachusetts",14,122352,146724,34307,303383
1884,"Michigan",13,189361,192669,19156,401186
1884,"Minnesota",7,70065,111685,8267,190017
1884,"Mississippi",9,77653,43035,0,120688
1884,"Missouri",16,236023,203081,2164,441268
1884,"Nebraska",5,54391,76912,2899,134202
1884,"Nevada",3,5578,7193,26,12797
1884,"New Hampshire",4,39198,43254,2134,84586
1884,"New Jersey",9,127798,123440,9683,260921
1884,"New York",36,563154,562005,42010,1167169
1884,"North Carolina",11,142905,125021,430,268356
1884,"Ohio",23,368280,400082,16248,784610
1884,"Oregon",3,24604,26860,1218,52682
1884,"Pennsylvania",30,392785,478804,32275,903864
1884,"Rhode Island",4,12391,19030,1350,32771
1884,"South Carolina",9,69845,21730,1237,92812
1884,"Tennessee",12,133770,124101,2107,259978
1884,"Texas",13,225309,93141,6855,325305
1884,"Vermont",4,17331,39514,2556,59401
1884,"Virginia",12,145491,139356,130,284977
1884,"West Virginia",6,67311,63096,1738,132145
1884,"Wisconsin",11,146453,161135,12247,319835
1888,"Alabama",10,117314,57177,594,175085
1888,"Arkansas",7,86062,59752,11244,157058
1888,"California",8,117729,124816,8794,251339
1888,"Colorado",3,37549,50772,3625,91946
1888,"Connecticut",6,74920,74584,4474,153978
1888,"Delaware",3,16414,12950,400,29764
1888,"Florida",4,39557,26529,414,66500
1888,"Georgia",12,100493,40499,1944,142936
1888,"Illinois",22,348351,370475,28987,747813
1888,"Indiana",15,261013,263361,12575,536949
1888,"Iowa",13,179877,211603,12655,404135
1888,"Kansas",9,102745,182904,45500,331149
1888,"Kentucky",13,183830,155138,5900,344868
1888,"Louisiana",8,85032,30660,199,115891
1888,"Maine",6,50472,73730,4051,128253
1888,"Maryland",8,106188,99986,4767,210941
1888,"Massachusetts",14,151590,183892,8761,344243
1888,"Michigan",13,213469,236387,25500,475356
1888,"Minnesota",7,104385,142492,16408,263285
1888,"Mississippi",9,85451,30095,240,115786
1888,"Missouri",16,261943,236252,23165,521360
1888,"Nebraska",5,80552,108425,13655,202632
1888,"Nevada",3,5149,7088,41,12278
1888,"New Hampshire",4,43456,45728,1651,90835
1888,"New Jersey",9,151508,144360,7933,303801
1888,"New York",36,635965,650338,33445,1319748
1888,"North Carolina",11,147902,134784,2877,285563
1888,"Ohio",23,396455,416054,27852,840361
1888,"Oregon",3,26522,33291,2040,61853
1888,"Pennsylvania",30,446633,526091,24844,997568
1888,"Rhode Island",4,17530,21969,1276,40775
1888,"South Carolina",9,65824,13736,437,79997
1888,"Tennessee",12,158699,138978,6017,303694
1888,"Texas",13,234883,88422,34208,357513
1888,"Vermont",4,16788,45192,3472,65452
1888,"Virginia",12,152004,150399,1684,304087
1888,"West Virginia",6,78677,78171,2592,159440
1888,"Wisconsin",11,155232,176553,22829,354614
1892,"Alabama",11,138135,9184,85224,232543
1892,"Arkansas",8,87834,47072,13211,148117
1892,"California",9,118174,118027,33408,269609
1892,"Colorado",4,0,38620,55271,93891
1892,"Connecticut",6,82395,77032,5168,164595
1892,"Delaware",3,18581,18077,577,37235
1892,"Florida",4,30153,0,5318,35471
1892,"Georgia",13,129446,48408,45272,223126
1892,"Idaho",3,0,8599,10808,19407
1892,"Illinois",24,426281,399288,48078,873647
1892,"Indiana",15,262740,255615,35258,553613
1892,"Iowa",13,196367,219795,26997,443159
1892,"Kansas",10,0,157241,167664,324905
1892,"Kentucky",13,175461,135462,29941,340864
1892,"Louisiana",8,87926,26963,0,114889
1892,"Maine",6,48049,62936,5466,116451
1892,"Maryland",8,113866,92736,6673,213275
1892,"Massachusetts",15,176813,202814,11401,391028
1892,"Michigan",14,201624,222708,41713,466045
1892,"Minnesota",9,100920,122823,43495,267238
1892,"Mississippi",9,40030,1398,11091,52519
1892,"Missouri",17,268400,227646,45537,541583
1892,"Montana",3,17690,18871,7900,44461
1892,"Nebraska",8,24943,87213,88036,200192
1892,"Nevada",3,714,2811,7353,10878
1892,"New Hampshire",4,42081,45658,1590,89329
1892,"New Jersey",10,171066,156101,10456,337623
1892,"New York",36,654868,609350,72575,1336793
1892,"North Carolina",11,132951,100346,46973,280270
1892,"North Dakota",3,0,17519,18599,36118
1892,"Ohio",23,404115,405187,40862,850164
1892,"Oregon",4,14243,35002,29246,78491
1892,"Pennsylvania",32,452264,516011,34735,1003010
1892,"Rhode Island",4,24336,26975,1885,53196
1892,"South Carolina",9,54680,13345,2479,70504
1892,"South Dakota",4,9081,34888,26544,70513
1892,"Tennessee",12,136468,100537,28727,265732
1892,"Texas",15,239148,81144,101853,422145
1892,"Vermont",4,16325,37992,1479,55796
1892,"Virginia",12,164136,113098,15004,292238
1892,"Washington",4,29802,36460,21707,87969
1892,"West Virginia",6,84467,80292,6320,171079
1892,"Wisconsin",12,177325,171101,23155,371581
1892,"Wyoming",3,0,8454,8281,16735
1896,"Alabama",11,130298,55673,8609,194580
1896,"Arkansas",8,110103,37512,1732,149347
1896,"California",9,144766,146688,6965,298419
1896,"Colorado",4,161005,26271,2263,189539
1896,"Connecticut",6,56740,110285,7365,174390
1896,"Delaware",3,16574,20450,1432,38456
1896,"Florida",4,32756,11298,2434,46488
1896,"Georgia",13,93885,59395,9200,162480
1896,"Idaho",3,23135,6314,172,29621
1896,"Illinois",24,465613,607130,18126,1090869
1896,"Indiana",15,305573,323754,7792,637119
1896,"Iowa",13,223741,289293,8513,521547
1896,"Kansas",10,171675,159345,3527,334547
1896,"Kentucky",13,217894,218171,9863,445928
1896,"Louisiana",8,77175,22037,1834,101046
1896,"Maine",6,34587,80403,3429,118419
1896,"Maryland",8,104150,136959,9140,250249
1896,"Massachusetts",15,105711,278976,16881,401568
1896,"Michigan",14,237166,293336,15083,545585
1896,"Minnesota",9,139735,193503,8524,341762
1896,"Mississippi",9,63355,4819,1417,69591
1896,"Missouri",17,363667,304940,5299,673906
1896,"Montana",3,42628,10509,193,53330
1896,"Nebraska",8,115007,103064,5111,223182
1896,"Nevada",3,8376,1938,0,10314
1896,"New Hampshire",4,21650,57444,4576,83670
1896,"New Jersey",10,133695,221535,15981,371211
1896,"New York",36,551369,819838,52669,1423876
1896,"North Carolina",11,174408,155122,1807,331337
1896,"North Dakota",3,20686,26335,370,47391
1896,"Ohio",23,477497,525991,10807,1014295
1896,"Oregon",4,46739,48779,1896,97414
1896,"Pennsylvania",32,433228,728300,32827,1194355
1896,"Rhode Island",4,14459,37437,2889,54785
1896,"South Carolina",9,58801,9313,824,68938
1896,"South Dakota",4,41225,41042,683,82950
1896,"Tennessee",12,167168,148683,5052,320903
1896,"Texas",15,370434,167520,6832,544786
1896,"Utah",3,64607,13491,21,78119
1896,"Vermont",4,10640,51127,2080,63847
1896,"Virginia",12,154708,135379,4587,294674
1896,"Washington",4,53314,39153,1116,93583
1896,"West Virginia",6,94480,105379,1898,201757
1896,"Wisconsin",12,165523,268135,13751,447409
1896,"Wyoming",3,10861,10072,159,21092
1900,"Alabama",11,97129,55612,6951,159692
1900,"Arkansas",8,81142,44800,1924,127866
1900,"California",9,124985,164755,13264,303004
1900,"Colorado",4,122733,93072,5603,221408
1900,"Connecticut",6,74014,102572,3609,180195
1900,"Delaware",3,18852,22535,602,41989
1900,"Florida",4,28273,7355,4021,39649
1900,"Georgia",13,81180,34260,5970,121410
1900,"Idaho",3,29414,27198,1302,57914
1900,"Illinois",24,503061,597985,30851,1131897
1900,"Indiana",15,309584,336063,18447,664094
1900,"Iowa",13,209265,307808,13282,530355
1900,"Kansas",10,162601,185955,5210,353766
1900,"Kentucky",13,235126,227132,6007,468265
1900,"Louisiana",8,53668,14234,4,67906
1900,"Maine",6,36822,65412,3459,105693
1900,"Maryland",8,122238,136185,6011,264434
1900,"Massachusetts",15,156997,238866,18941,414804
1900,"Michigan",14,211685,316269,16425,544379
1900,"Minnesota",9,112901,190461,12949,316311
1900,"Mississippi",9,51706,5707,1642,59055
1900,"Missouri",17,351922,314092,17642,683656
1900,"Montana",3,37311,25409,1136,63856
1900,"Nebraska",8,114013,121835,5582,241430
1900,"Nevada",3,6347,3849,0,10196
1900,"New Hampshire",4,35489,54799,2076,92364
1900,"New Jersey",10,164879,221754,14573,401206
1900,"New York",36,678462,822013,47567,1548042
1900,"North Carolina",11,157733,132997,1788,292518
1900,"North Dakota",3,20531,35898,1362,57791
1900,"Ohio",23,474882,543918,21273,1040073
1900,"Oregon",4,32810,46172,4269,83251
1900,"Pennsylvania",32,424232,712665,36313,1173210
1900,"Rhode Island",4,19812,33784,2952,56548
1900,"South Carolina",9,47233,3579,0,50812
1900,"South Dakota",4,39544,54530,2050,96124
1900,"Tennessee",12,145240,123108,5512,273860
1900,"Texas",15,267432,130641,25633,423706
1900,"Utah",3,45006,47139,1044,93189
1900,"Vermont",4,12849,42569,794,56212
1900,"Virginia",12,146079,115769,2360,264208
1900,"Washington",4,44833,57456,5235,107524
1900,"West Virginia",6,98807,119829,2160,220796
1900,"Wisconsin",12,159163,265760,17578,442501
1900,"Wyoming",3,10164,14482,41,24687
1904,"Alabama",11,79857,22472,6516,108845
1904,"Arkansas",9,64434,46860,5127,116421
1904,"California",10,89404,205226,37248,331878
1904,"Colorado",5,100105,134661,8901,243667
1904,"Connecticut",7,72909,111089,7130,191128
1904,"Delaware",3,19347,23705,804,43856
1904,"Florida",5,27046,8314,3949,39309
1904,"Georgia",13,83466,24004,23516,130986
1904,"Idaho",3,18480,47783,6315,72578
1904,"Illinois",27,327606,632645,116248,1076499
1904,"Indiana",15,274345,368289,39551,682185
1904,"Iowa",13,149276,308158,28659,486093
1904,"Kansas",10,86174,212955,29432,328561
1904,"Kentucky",13,217170,205457,13319,435946
1904,"Louisiana",9,47708,5205,995,53908
1904,"Maine",6,27642,65432,3949,97023
1904,"Maryland",8,109446,109497,5286,224229
1904,"Massachusetts",16,165746,257822,21541,445109
1904,"Michigan",14,135392,364957,24678,525027
1904,"Minnesota",11,55187,216651,21022,292860
1904,"Mississippi",10,53480,3280,1961,58721
1904,"Missouri",18,296312,321449,26100,643861
1904,"Montana",3,21773,34932,7739,64444
1904,"Nebraska",8,52921,138558,34253,225732
1904,"Nevada",3,3982,6864,1269,12115
1904,"New Hampshire",4,34074,54163,1924,90161
1904,"New Jersey",12,164566,245164,22817,432547
1904,"New York",39,683981,859533,74256,1617770
