"year","state","ecvotes","dem","rep","other","total"
1836,"Alabama",7,20638,NA,16658,37296
1836,"Arkansas",3,2380,NA,1334,3714
1836,"Connecticut",8,19294,NA,18799,38093
1836,"Delaware",3,4154,NA,4741,8895
1836,"Georgia",11,22778,NA,24481,47259
1836,"Illinois",5,18369,NA,15220,33589
1836,"Indiana",9,32478,NA,41281,73759
1836,"Kentucky",15,33229,NA,36861,70090
1836,"Louisiana",5,3842,NA,3583,7425
1836,"Maine",10,22825,NA,15915,38740
1836,"Maryland",10,22267,NA,25852,48119
1836,"Massachusetts",14,33486,NA,41246,74732
1836,"Michigan",3,7122,NA,5545,12667
1836,"Mississippi",4,10297,NA,9782,20079
1836,"Missouri",4,10995,NA,7337,18332
1836,"New Hampshire",7,18697,NA,6228,24925
1836,"New Jersey",8,25592,NA,26137,51729
1836,"New York",42,166795,NA,138548,305343
1836,"North Carolina",15,26631,NA,23522,50153
1836,"Ohio",21,96238,NA,106095,202333
1836,"Pennsylvania",30,91457,NA,87235,178692
1836,"Rhode Island",4,2964,NA,2710,5674
1836,"Tennessee",15,26170,NA,36027,62197
1836,"Vermont",7,14037,NA,20994,35031
1836,"Virginia",23,30556,NA,23389,53945
1840,"Alabama",7,33996,NA,28515,62511
1840,"Arkansas",3,6679,NA,5160,11839
1840,"Connecticut",8,25281,NA,31598,56879
1840,"Delaware",3,4872,NA,5980,10852
1840,"Georgia",11,31983,NA,40339,72322
1840,"Illinois",5,47441,NA,45734,93175
1840,"Indiana",9,51604,NA,65302,116906
1840,"Kentucky",15,32616,NA,58488,91104
1840,"Louisiana",5,7616,NA,11296,18912
1840,"Maine",10,46190,NA,46612,92802
1840,"Maryland",10,28752,NA,33528,62280
1840,"Massachusetts",14,52355,NA,74470,126825
1840,"Michigan",3,21096,NA,23254,44350
1840,"Mississippi",4,17010,NA,19515,36525
1840,"Missouri",4,29969,NA,22954,52923
1840,"New Hampshire",7,32774,NA,27182,59956
1840,"New Jersey",8,31034,NA,33420,64454
1840,"New York",42,212733,NA,228810,441543
1840,"North Carolina",15,34168,NA,46567,80735
1840,"Ohio",21,124782,NA,149060,273842
1840,"Pennsylvania",30,143676,NA,144350,288026
1840,"Rhode Island",4,3301,NA,5320,8621
1840,"Tennessee",15,47951,NA,60194,108145
1840,"Vermont",7,18009,NA,32764,50773
1840,"Virginia",23,43757,NA,42637,86394
1844,"Alabama",9,37401,NA,26002,63403
1844,"Arkansas",3,9546,NA,5604,15150
1844,"Connecticut",6,29841,NA,34775,64616
1844,"Delaware",3,5970,NA,6277,12247
1844,"Georgia",10,44147,NA,42100,86247
1844,"Illinois",9,58795,NA,50262,109057
1844,"Indiana",12,70181,NA,69973,140154
1844,"Kentucky",12,51988,NA,61249,113237
1844,"Louisiana",6,13782,NA,13083,26865
1844,"Maine",9,45719,NA,39214,84933
1844,"Maryland",8,32706,NA,35984,68690
1844,"Massachusetts",12,53039,NA,78998,132037
1844,"Michigan",5,27737,NA,28014,55751
1844,"Mississippi",6,25846,NA,19158,45004
1844,"Missouri",7,41322,NA,31200,72522
1844,"New Hampshire",6,27160,NA,22027,49187
1844,"New Jersey",7,37495,NA,38449,75944
1844,"New York",36,237588,NA,248294,485882
1844,"North Carolina",11,39287,NA,43234,82521
1844,"Ohio",23,149061,NA,163163,312224
1844,"Pennsylvania",26,167447,NA,164125,331572
1844,"Rhode Island",4,4867,NA,7429,12296
1844,"Tennessee",13,59917,NA,60040,119957
1844,"Vermont",6,18049,NA,30780,48829
1844,"Virginia",17,50679,NA,44860,95539
1848,"Alabama",9,31173,NA,30486,61659
1848,"Arkansas",3,9301,NA,7587,16888
1848,"Connecticut",6,27051,NA,35347,62398
1848,"Delaware",3,5910,NA,6522,12432
1848,"Florida",3,3083,NA,4120,7203
1848,"Georgia",10,44785,NA,47532,92317
1848,"Illinois",9,55952,NA,68644,124596
1848,"Indiana",12,74745,NA,78007,152752
1848,"Iowa",4,11238,NA,11033,22271
1848,"Kentucky",12,49720,NA,67145,116865
1848,"Louisiana",6,15379,NA,18487,33866
1848,"Maine",9,40195,NA,47430,87625
1848,"Maryland",8,34528,NA,37831,72359
1848,"Massachusetts",12,35281,NA,99467,134748
1848,"Michigan",5,30742,NA,34340,65082
1848,"Mississippi",6,26545,NA,25911,52456
1848,"Missouri",7,40077,NA,32671,72748
1848,"New Hampshire",6,27763,NA,22341,50104
1848,"New Jersey",7,36901,NA,40834,77735
1848,"New York",36,114319,NA,341625,455944
1848,"North Carolina",11,35772,NA,44080,79852
1848,"Ohio",23,154773,NA,173706,328479
1848,"Pennsylvania",26,171976,NA,196576,368552
1848,"Rhode Island",4,3646,NA,7509,11155
1848,"Tennessee",13,58142,NA,64321,122463
1848,"Texas",4,10668,NA,4509,15177
1848,"Vermont",6,10948,NA,36974,47922
1848,"Virginia",17,46739,NA,45265,92004
1848,"Wisconsin",4,15001,NA,24165,39166
1852,"Alabama",9,26881,NA,17266,44147
1852,"Arkansas",4,12173,NA,7404,19577
1852,"California",4,40721,NA,36089,76810
1852,"Connecticut",6,33249,NA,33532,66781
1852,"Delaware",3,6318,NA,6355,12673
1852,"Florida",3,4318,NA,2875,7193
1852,"Georgia",10,40516,NA,22110,62626
1852,"Illinois",11,80378,NA,74596,154974
1852,"Indiana",13,95340,NA,87830,183170
1852,"Iowa",4,17763,NA,17601,35364
1852,"Kentucky",12,53949,NA,57694,111643
1852,"Louisiana",6,18647,NA,17255,35902
1852,"Maine",8,41609,NA,40573,82182
1852,"Maryland",8,40022,NA,35098,75120
1852,"Massachusetts",13,44569,NA,82534,127103
1852,"Michigan",6,41842,NA,41097,82939
